target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-49.42838201898199,81517.71428571429,16747949388.857143,129413.86861096899,5.069844187097334,7.101294390389825
total_cases in 14,-6.729035938766767,112415.5,18141238117.357143,134689.41353112034,2.6480123296637106,2.780114375123219
total_cases in 21,-3.6270683655451847,143718.66666666666,27680434725.61905,166374.3812178397,2.1076713266272202,2.1510621482293777
total_cases in 28,-2.6876347563508647,162328.75,36337505974.17857,190623.99107714268,1.8459656808016454,1.9203215242117306
total_cases in 30,-2.965888399799604,173110.13333333333,43207863191.73333,207865.01194701655,1.8744807851399752,1.9914538407403783
total_deaths in 7,-24.507195952821686,316.2857142857143,214849.7142857143,463.51883919180057,4.021276595744675,5.050464924422472
total_deaths in 14,-4.800872555126643,390.57142857142856,226491.42857142858,475.91115617458325,2.218255578093306,2.4085000633437077
total_deaths in 21,-2.948916762111945,475.7142857142857,317588.6666666667,563.5500569307634,1.9422841906454849,1.987188154682879
total_deaths in 28,-2.890375755223244,552.0714285714286,452136.78571428574,672.4111731033964,1.855431809803064,1.972403547761777
total_deaths in 30,-2.574835911023855,545.3333333333334,447270.0,668.7824758469677,1.7613620051103902,1.8907236474492657
total_vaccinations in 7,-33.0756903452162,683169.1428571428,966975589567.7142,983349.1697091701,4.862261275555888,5.837438680210371
total_vaccinations in 14,-5.283865791800526,870559.7857142857,1079526394928.0714,1039002.5962085328,2.335727799365428,2.5067640079992626
total_vaccinations in 21,-3.0684284925425054,1037304.1428571428,1490020731446.8096,1220664.0534753243,1.9630965661751376,2.017034578915916
total_vaccinations in 28,-2.721417192933273,1167558.642857143,2014018751091.9285,1419161.2843831135,1.8008114694353314,1.929097507367959
total_vaccinations in 30,-2.3527138595595716,1143054.6666666667,1950654712104.3333,1396658.4092412624,1.700858127281644,1.8310417416213023
people_vaccinated in 7,-72.50774677668659,98666.0,27827870055.714287,166816.87581211407,6.0592586465335945,8.57366588902825
people_vaccinated in 14,-9.442917345957452,119055.57142857143,23313975636.714287,152689.14708228048,2.846964257043204,3.2315503007004938
people_vaccinated in 21,-5.313898421272232,187128.2380952381,44203690502.04762,210246.7371971504,2.6090158736542053,2.512747186103734
people_vaccinated in 28,-4.449178238754869,250785.85714285713,84118548422.78572,290031.9782761648,2.3064244069995437,2.334347497429393
people_vaccinated in 30,-3.746932528188988,251403.93333333332,84885022958.93333,291350.3440171872,2.1374428904713407,2.1787456318232716
people_fully_vaccinated in 7,-33.32301686424263,89380.85714285714,17112038113.142857,130812.98908419935,4.850005869181487,5.8585848858101075
people_fully_vaccinated in 14,-5.754618845403982,109362.85714285714,17514332458.857143,132341.72606875407,2.395636445568226,2.598964956555587
people_fully_vaccinated in 21,-3.3701348924988253,134126.14285714287,24662763224.238094,157043.8258074417,2.0639899160810984,2.090486759704262
people_fully_vaccinated in 28,-3.687314163002421,168149.32142857142,40931992090.46429,202316.56405362434,2.0470174808112684,2.1650205918194914
people_fully_vaccinated in 30,-3.3792233983411686,172106.8,42001403990.26667,204942.44067607538,2.0009217129910373,2.0926594081075804
new_cases in 7,-4.683149815166207,4450.714285714285,23161980.714285713,4812.6895509980395,2.4577942568633637,2.3839357825172653
new_cases in 14,-0.4924506467654983,2627.8571428571427,11228109.42857143,3350.8371235515806,1.0741292225044525,1.2216589731858472
new_cases in 21,-3.904660368234354,4293.857142857143,26927902.42857143,5189.210193138396,2.2008826353068067,2.2146467818219575
new_cases in 28,-4.826144521282693,5481.5,36641201.78571428,6053.197649648843,2.565617175531959,2.413740773422592
new_cases in 30,-3.428298313814059,5235.633333333333,34431659.833333336,5867.849677124776,2.1983516339966855,2.104352231403778
new_deaths in 7,0.32104440562655145,14.0,301.42857142857144,17.36169840276496,0.849009900990099,0.8239876178520212
new_deaths in 14,0.22669977081741788,14.357142857142858,289.2142857142857,17.006301353153944,0.9220183486238532,0.8793749082061542
new_deaths in 21,-1.257086730598623,22.904761904761905,726.9047619047619,26.961171374863554,1.6002851711026618,1.5023603863915684
new_deaths in 28,-6.504329484902309,37.464285714285715,2414.25,49.1350180624776,2.583743842364532,2.7394031256648423
new_deaths in 30,-5.755583188097136,36.0,2269.733333333333,47.64171841289242,2.36772873428822,2.5991504743083143
