target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-37.76170485785555,19795.85714285714,901582846.7142857,30026.369189668698,4.571489839007654,6.22588988481611
total_cases in 14,-5.778693750445139,22779.64285714286,824539056.3571428,28714.788112698006,2.3167701863354035,2.603592470116078
total_cases in 21,-3.472367445786152,28692.333333333332,1153569393.952381,33964.2369846929,2.044109355881888,2.1147972587901074
total_cases in 28,-6.054097785594526,47007.857142857145,3091361006.142857,55600.00904804654,2.5986112783780744,2.6559551550420664
total_cases in 30,-5.574223438127286,48609.23333333333,3262608706.633333,57119.249878069415,2.525259924221959,2.5640248513084436
total_deaths in 7,-65.70152693748199,143.71428571428572,66148.85714285714,257.19420122323356,4.883495145631068,8.167100277178063
total_deaths in 14,-8.523055167225175,176.78571428571428,54182.92857142857,232.77226761671713,2.650703794369654,3.085944777086132
total_deaths in 21,-4.579794594304297,263.7142857142857,92352.76190476191,303.89597217594365,2.396414588914073,2.362158884221021
total_deaths in 28,-8.1357605962443,456.75,306612.39285714284,553.7259185347411,2.8471519893139954,3.0225420751817995
total_deaths in 30,-7.331025462293278,481.1666666666667,322364.63333333336,567.7716383664592,2.778811601642712,2.8863515832783224
total_vaccinations in 7,-19.685862096676324,519524.0,626576400929.7142,791565.7906514873,3.283070941389406,4.54817129148368
total_vaccinations in 14,-5.515869580766805,533498.2142857143,495984511579.3571,704261.6783407693,2.236716576519769,2.552620140319904
total_vaccinations in 21,-3.517132417412922,696513.2380952381,692211911786.2858,831992.7354167738,2.1086545675282347,2.125354656854456
total_vaccinations in 28,-6.569840826408591,1188266.8214285714,1999657286188.0356,1414092.3895516996,2.696992835978612,2.7513343719745498
total_vaccinations in 30,-5.777981277754206,1214012.3666666667,2048465526371.1667,1431246.144578621,2.5672939249506284,2.6034556415952634
people_vaccinated in 7,-6.042547418012952,211105.0,81148315083.57143,284865.4332901263,2.1755273013912797,2.6537798360099414
people_vaccinated in 14,-2.591797698330581,166735.35714285713,54864601260.21429,234231.93902671404,1.575094044982545,1.8952038672213027
people_vaccinated in 21,-2.185661675656821,191531.57142857142,60509180262.90476,245986.13835520236,1.7770844918916724,1.7848421990912309
people_vaccinated in 28,-4.958762818157333,320198.1785714286,148235316857.10715,385013.3982825885,2.567975652555982,2.4410577252816723
people_vaccinated in 30,-4.845790299636294,333698.63333333336,158073000133.56668,397583.9535664973,2.539941167641268,2.4178069194284917
people_fully_vaccinated in 7,-82.97485333814933,159273.2857142857,75192177024.71428,274211.91991726815,6.097494870829331,9.163779424350487
people_fully_vaccinated in 14,-10.100830581135705,189393.2857142857,60806216957.14286,246589.16634179789,2.9122707202952354,3.3317908969705323
people_fully_vaccinated in 21,-4.707459717180918,275378.38095238095,100999793370.0,317804.6465519345,2.404605247265416,2.389029032301809
people_fully_vaccinated in 28,-9.36655473928562,522480.64285714284,387195405524.2857,622250.2756321492,3.076423553509897,3.219713456083572
people_fully_vaccinated in 30,-8.013391836794508,535512.2,402012893494.13336,634044.867098641,2.8921020116642033,3.0022311431324717
new_cases in 7,-0.13457182529204315,951.5714285714286,1027020.7142857143,1013.4203048517008,1.1250060319451816,1.0651628163299933
new_cases in 14,-0.17164937315185758,904.5,1030127.2142857143,1014.9518285542986,1.205606332626081,1.0824275371367165
new_cases in 21,-1.0659146316589307,1251.095238095238,2203265.1904761903,1484.3399848000424,1.45676694707159,1.4373289921444328
new_cases in 28,-2.073503687159007,1394.607142857143,3371167.6071428573,1836.0739655969357,1.6869275963366166,1.7531410916292525
new_cases in 30,-2.033930611529119,1333.7,3172407.433333333,1781.1253278007512,1.6659865758398429,1.7418181912958421
new_deaths in 7,-7.781065088757396,22.0,1029.7142857142858,32.08916149908386,2.603864734299517,2.963286197578188
new_deaths in 14,-4.116365955895754,14.928571428571429,572.9285714285714,23.935926374982262,1.654977375565611,2.261938539371871
new_deaths in 21,-18.672114517583406,52.95238095238095,3166.095238095238,56.268065881947976,5.04798962386511,4.435325751011239
new_deaths in 28,-16.281242739071264,47.285714285714285,2656.285714285714,51.53916679852046,4.592666005946482,4.1570714137564755
new_deaths in 30,-15.219325153374232,46.36666666666667,2561.5,50.611263568498266,4.345064556434819,4.027322330454099
