target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-4.6452629557410745,10371753.42857143,130730896686200.86,11433761.265926488,2.585198957333714,2.3759762111058844
total_cases in 14,-3.566365279343814,18994714.64285714,461966382926573.5,21493403.242078103,2.147549078145077,2.136905538236029
total_cases in 21,-3.109264366386304,25951326.285714287,890072839310507.6,29834088.54499342,2.0353047761166168,2.027132054501212
total_cases in 28,-4.989875979811669,38750703.321428575,2131655151204932.0,46169851.106592625,2.3607734086648184,2.4474223133353323
total_cases in 30,-8.343763392620339,60970302.63333333,3742328127493964.5,61174570.9220258,3.507719322049478,3.0567570058184765
total_deaths in 7,-4.850821021427573,121970.71428571429,17943728787.57143,133954.20406829877,2.6448652600405413,2.418847043826371
total_deaths in 14,-3.8642958029208305,233170.64285714287,68438006998.78571,261606.58821747152,2.230442735219099,2.205514861187934
total_deaths in 21,-3.4453843767123207,338032.85714285716,147431224017.61905,383967.7382510399,2.149266463153694,2.10840801950484
total_deaths in 28,-6.066698387754989,548089.6071428572,420863918402.0357,648740.2549572793,2.5762316685020545,2.6583262380217723
total_deaths in 30,-11.259473249717526,917573.8666666667,842258077933.0,917746.1947254263,4.028069690751097,3.50135305984951
total_vaccinations in 7,-4.217235144433422,532427389.71428573,3.506980666770046e+17,592197658.4528215,2.378183382069809,2.284126779413398
total_vaccinations in 14,-3.4568586312035743,964547417.9285715,1.1994838499596526e+18,1095209500.4882183,2.1346433176879565,2.111127336567734
total_vaccinations in 21,-3.4168712863954775,1411152553.0,2.574151218235632e+18,1604416161.1737874,2.1374541297932788,2.1016353837893664
total_vaccinations in 28,-5.461458824344087,2189631362.321429,6.761068735119373e+18,2600205517.8618813,2.479501670997907,2.54193997260834
total_vaccinations in 30,-9.88926604048097,3603189174.866667,1.3029995747973941e+19,3609708540.5852284,3.8165806387307093,3.299888792138452
people_vaccinated in 7,-0.039423682152783135,158730477.2857143,4.5723866419684056e+16,213831397.179376,0.8989257607737589,1.0195213004899815
people_vaccinated in 14,-2.267588942393536,502998482.14285713,3.6458301845894355e+17,603807103.6837374,2.163091542783372,1.8076473501193577
people_vaccinated in 21,-1.5719454831526867,529326792.5714286,4.210567118629682e+17,648888828.5854274,1.6126755500882792,1.6037286189230042
people_vaccinated in 28,-3.8439062103885364,836708677.0357143,1.0699621854319871e+18,1034389764.7560068,2.1876906015889572,2.2008875960367753
people_vaccinated in 30,-6.571392104697976,1287909457.8,1.7455944176169856e+18,1321209452.591445,3.2969173001866836,2.751616271339079
people_fully_vaccinated in 7,-2.5519541926061113,227093838.42857143,7.1780285887540264e+16,267918431.4069121,1.8770899384921529,1.8846628856657923
people_fully_vaccinated in 14,-3.1364181685042682,400930962.71428573,2.1199697779617494e+17,460431295.4135231,2.1205753469460076,2.033818617405266
people_fully_vaccinated in 21,-3.1638080559726536,566454711.1428572,4.222901580405211e+17,649838563.0604889,2.08694678247155,2.040541118422428
people_fully_vaccinated in 28,-5.142673647396721,837718397.5714285,1.0336235252764225e+18,1016672771.9755372,2.3768406275420273,2.4784417780929857
people_fully_vaccinated in 30,-11.932377478320655,1560653557.7333333,2.4366043798082586e+18,1560962645.2315438,4.182826785646425,3.5961614922470675
new_cases in 7,-0.007347245940323877,366505.14285714284,199716717778.85715,446896.7641176843,0.9572771015131784,1.0036668998927503
new_cases in 14,-0.28134772660885754,442960.9285714286,215409761139.92856,464122.5712459248,1.2664896388952054,1.1319663098382644
new_cases in 21,-0.5856552672714133,468291.3333333333,276961956469.619,526271.7515406077,1.3037019897020936,1.2592280441887456
new_cases in 28,-2.3933879466006007,652291.6428571428,598892012433.2142,773881.1358556391,1.8382002249822293,1.842115074201555
new_cases in 30,-2.2975967583159322,655746.7,597906492337.4333,773244.1350165117,1.8102051640589214,1.8159286214815638
new_deaths in 7,-2.99721298216107,9598.142857142857,128101861.0,11318.209266487345,1.9420934400369996,1.9993031241312733
new_deaths in 14,-2.5344728324717645,9530.714285714286,129209606.42857143,11367.040354840456,1.8584785710164018,1.8800193702384465
new_deaths in 21,-2.523399023021896,9184.57142857143,118181212.09523809,10871.118254128141,1.9200339030615148,1.8770719280362955
new_deaths in 28,-2.4238677339957255,8969.17857142857,114149950.60714285,10684.09802496883,1.875034264437194,1.8503696209124612
new_deaths in 30,-2.808281689821033,9339.5,120437725.56666666,10974.41231076483,2.0160849305053863,1.9514819214691776
