target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-29.670425800080356,514347.5714285714,897941842714.7142,947597.9330468774,3.153834689360864,5.538088641406921
total_cases in 14,-7.36344876181443,731867.1428571428,839715149166.4286,916359.7269448438,2.7358204412070983,2.8919627870728957
total_cases in 21,-3.85427837200361,975709.0952380953,1292279315033.6667,1136784.6388096854,2.1837229997117285,2.2032426947577997
total_cases in 28,-5.685960626690931,1483733.8214285714,3128445349646.25,1768741.1765564373,2.459050080703536,2.585722457397725
total_cases in 30,-4.966917822984954,1504479.0,3161783768358.6665,1778140.5367289353,2.34231609954165,2.442727537607286
total_deaths in 7,-51.8389618418239,5956.857142857143,147695043.42857143,12152.984959612657,3.772891784292436,7.269041328939044
total_deaths in 14,-10.08971439241632,8382.07142857143,120932761.5,10996.943279839175,2.935129669198838,3.330122278898527
total_deaths in 21,-4.799321437207757,12125.333333333334,196262597.14285713,14009.375330215731,2.442618068333185,2.4081780327060036
total_deaths in 28,-7.481514707973693,20579.785714285714,594841618.6428572,24389.37511792496,2.7918188352557927,2.912304020526307
total_deaths in 30,-7.102674272895722,22369.166666666668,676282068.1666666,26005.423822092704,2.791923049720631,2.8465196772366994
total_vaccinations in 7,-297.79555186642045,6061667.857142857,162072002979636.44,12730750.29130791,9.949855891736156,17.285703684444567
total_vaccinations in 14,-12.652833964086591,9957271.0,151823305815595.0,12321660.026781904,3.4187163320508835,3.694974149312359
total_vaccinations in 21,-4.994518927713829,14367990.095238095,266249100893760.2,16317141.321130984,2.441938305728995,2.4483706679573314
total_vaccinations in 28,-6.053862641604399,21924902.60714286,664522380775079.2,25778331.613490414,2.538131834012928,2.655910887361321
total_vaccinations in 30,-5.273950430932494,22767202.966666665,698483118447920.4,26428831.197158914,2.433879272496912,2.504785505973015
people_vaccinated in 7,-390.0747637631619,1855227.2857142857,15974673440202.428,3996832.926230771,11.105291210187469,19.775610325933354
people_vaccinated in 14,-13.854465494824426,3069569.714285714,14598478036890.285,3820795.4717428,3.573345208933575,3.854149127216593
people_vaccinated in 21,-5.566032914460161,4797991.80952381,28781129007764.19,5364804.656999562,2.6004626056204456,2.5624271530055562
people_vaccinated in 28,-5.368878452985159,6956886.321428572,65290523769340.96,8080255.179716849,2.4526186071777056,2.523663696490711
people_vaccinated in 30,-4.68700002192787,7103733.5,68321068911618.9,8265655.987979351,2.3089437533837676,2.3847431773522008
people_fully_vaccinated in 7,-104.72740052717401,753296.4285714285,2023929263765.5715,1422648.678966656,6.414395770114196,10.282383017918269
people_fully_vaccinated in 14,-10.68714103914826,1040313.0714285715,1758883247059.3572,1326228.9572541225,3.056756559195066,3.4186460827567777
people_fully_vaccinated in 21,-4.825033037703875,1468414.9047619049,2856327247865.476,1690067.2317589843,2.4076675475991873,2.4135105215647754
people_fully_vaccinated in 28,-8.947149643963545,2696181.3928571427,10143941179278.035,3184955.443845021,3.0319196197411946,3.153910214949618
people_fully_vaccinated in 30,-8.649827481929508,2970124.4,11828489384742.732,3439257.097796373,3.062835617381988,3.1064171455117724
new_cases in 7,-0.20404539523943632,59002.142857142855,4840042093.857142,69570.411051374,1.0629758123877224,1.0972900233026073
new_cases in 14,-0.3279769813245035,50478.28571428572,3735150426.285714,61115.87703932354,1.1071489159417904,1.152378835854123
new_cases in 21,-3.0160118756793013,86347.61904761905,10051340992.0,100256.37631592317,1.9914222928344087,2.0039989709776056
new_cases in 28,-2.9678567703179426,75992.82142857143,8360890892.678572,91437.90730697292,1.9766134822126464,1.991947983838419
new_cases in 30,-2.9969151679933197,73429.83333333333,7887259328.9,88810.24337822749,2.0177835382050673,1.999228643250521
new_deaths in 7,-3.4274295868231004,1397.2857142857142,2326750.1428571427,1525.3688546896265,2.183955342902711,2.1041458093067362
new_deaths in 14,-1.9889639544052282,983.7857142857143,1460275.7857142857,1208.4187129113343,1.4695902688860436,1.7288620403043236
new_deaths in 21,-3.3443584383807483,1281.5238095238096,2265791.238095238,1505.2545426256777,1.9616658220466645,2.084312461791837
new_deaths in 28,-3.35598636264462,1247.142857142857,2181432.0714285714,1476.9671869843864,1.9700828524452754,2.08709998865522
new_deaths in 30,-3.2595450677569957,1231.0666666666666,2118261.7333333334,1455.4249322219725,1.977130131266194,2.063866533416586
