target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-2253.744219613635,865293.4285714285,748831125708.0,865350.2907539813,53.81533200993063,47.484147034706595
total_cases in 14,-300.0059833138683,840050.7142857143,706507417135.5714,840539.95570441,19.787882000003364,17.349524008279545
total_cases in 21,-110.22533900310243,814553.2380952381,665381510036.8572,815709.2067868654,11.945633394488457,10.54634244670172
total_cases in 28,-63.4464389250961,795309.6071428572,635047398721.3928,796898.6125733893,9.044080240854152,8.02785394268581
total_cases in 30,-56.64617322965978,790825.5,628047921509.8334,792494.7454146516,8.563260715040252,7.592507703628609
total_deaths in 7,-10460.837931151449,9386.42857142857,88121128.42857143,9387.285466447232,119.33964711987528,102.28312632664026
total_deaths in 14,-2337.88764575417,9554.07142857143,91320400.35714285,9556.170799914726,54.26247464503042,48.36204757611251
total_deaths in 21,-1168.0818550005818,9693.095238095239,94022530.71428572,9696.521578085913,39.575741584268435,34.191839011679114
total_deaths in 28,-826.5875117305218,9802.82142857143,96181649.53571428,9807.224354307098,32.945857660948064,28.767820767839225
total_deaths in 30,-772.0833536307558,9830.266666666666,96725276.4,9834.900934935746,31.75059573368551,27.80437651936752
total_vaccinations in 7,-177.18637441036805,2245387.0,5056445598103.286,2248654.174857327,15.980900737227227,13.348646913090782
total_vaccinations in 14,-21.623190145307518,1943590.0,3886513765332.7144,1971424.2986563584,5.214687455203177,4.756384146103794
total_vaccinations in 21,-7.206918719075897,1665702.380952381,3005700863401.4287,1733695.723995831,3.1523393084218156,2.864772018691173
total_vaccinations in 28,-3.431736035529168,1438552.0357142857,2398440973614.75,1548690.0831395383,2.2187844877362615,2.105168885274806
total_vaccinations in 30,-2.892159779138754,1384230.4,2264511715424.8667,1504829.4639010981,2.0597260958096384,1.9728557421004593
people_vaccinated in 7,-482.22116133792895,427674.0,182933313501.42856,427707.04167856363,26.264238769156638,21.982291994647166
people_vaccinated in 14,-73.9402687900005,408461.14285714284,167305317364.7143,409029.7267494311,9.767491434056755,8.656804767926818
people_vaccinated in 21,-19.535450112164387,375612.5714285714,143768971325.2381,379168.79002000956,5.2369389632283125,4.531605688071767
people_vaccinated in 28,-6.714139032613022,334523.6785714286,119082575266.10715,345083.43232631026,3.0765434134386087,2.777433893473078
people_vaccinated in 30,-5.322953952538444,323541.6,113067562734.93333,336255.20477002783,2.750759240408552,2.5145484589759737
people_fully_vaccinated in 7,-70583.10630256476,5932100.857142857,35190319137998.86,5932142.879095113,321.88910347699203,265.6766950685829
people_fully_vaccinated in 14,-13363.314115227198,5886450.0,34652886544138.855,5886670.242517314,128.9450049443603,115.60412672230693
people_fully_vaccinated in 21,-6049.461733657668,5842945.19047619,34145651977618.523,5843428.101518707,89.91371627082594,77.78471401025827
people_fully_vaccinated in 28,-3858.162863435916,5804431.464285715,33700157128104.75,5805183.64292679,70.66203165506732,62.122160807846306
people_fully_vaccinated in 30,-3500.5324462837652,5794292.4,33583415478895.266,5795119.971052823,67.36471466890877,59.173747948594276
new_cases in 7,-17.17438494067449,8393.714285714286,74070676.85714285,8606.432295506824,4.635216156516251,4.263142613222608
new_cases in 14,-14.19855924328141,10332.642857142857,114342867.35714285,10693.122432533111,4.223438731715862,3.8985329603943852
new_cases in 21,-19.4058262339975,10320.285714285714,112033465.42857143,10584.586219053224,5.289821450571725,4.517280845154251
new_cases in 28,-14.498413833406236,9550.607142857143,97471064.53571428,9872.743516151642,4.470163590709203,3.936802488493198
new_cases in 30,-10.845788228990163,9186.166666666666,92105391.7,9597.155396261956,3.857112065748025,3.4417710889874944
new_deaths in 7,-0.2584811988599798,17.0,558.7142857142857,23.63713784945812,1.0309405940594059,1.1218204842397823
new_deaths in 14,-1.4663865546218489,26.571428571428573,922.4285714285714,30.371509205644877,1.7064220183486238,1.5704733536809368
new_deaths in 21,-2.7263740441890922,31.142857142857142,1200.095238095238,34.64239076760202,2.175855513307985,1.9303818389606477
new_deaths in 28,-1.7904085257548847,25.214285714285715,897.7142857142857,29.961880543688938,1.7389162561576355,1.6704515933587794
new_deaths in 30,-1.4978751971850084,23.833333333333332,839.2333333333333,28.969524216550976,1.567524115755627,1.5804667656059739
