target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-87310.74619282394,1425055.7142857143,2030838761421.7144,1425075.0020338278,329.09045922406966,295.48561080503384
total_cases in 14,-16924.98041483147,1434812.142857143,2058823194107.0,1434859.991116555,145.92546583850933,130.09988629830337
total_cases in 21,-8079.311828807127,1443580.0476190476,2084175893929.6667,1443667.5150219551,102.84404014902414,89.89055472521642
total_cases in 28,-4808.618209580022,1451674.5357142857,2107748806359.5356,1451808.8050289322,80.24909132907806,69.35141101361978
total_cases in 30,-4258.550353064268,1453778.9666666666,2113899261113.2334,1453925.4661478468,75.52412394627656,65.26523081292419
total_deaths in 7,-313588.49625468167,17634.428571428572,310991183.28571427,17634.942111776672,599.2281553398059,559.9906215774347
total_deaths in 14,-55915.700770194395,17835.14285714286,318146913.0,17836.67326044854,267.41799265605965,236.46712407900256
total_deaths in 21,-19618.031492991755,18017.095238095237,324720151.1904762,18019.993096293798,163.7242736451679,140.06795312630135
total_deaths in 28,-9840.14612162857,18169.678571428572,330286387.10714287,18173.782960824166,113.26072575772027,99.20255098347305
total_deaths in 30,-8571.763333263938,18208.733333333334,331718552.6666667,18213.14230622126,105.15823921971257,92.58921823443558
total_vaccinations in 7,-126.19234788067695,1962298.142857143,3852666289101.857,1962821.002817592,12.400512798555376,11.27795849791428
total_vaccinations in 14,-51.12255281030131,1991026.7142857143,3967540875003.857,1991868.689197121,8.347473968772377,7.21959505860968
total_vaccinations in 21,-26.456117932266455,2048734.5238095238,4207415264352.3335,2051198.494625114,6.202428288510186,5.239858579414759
total_vaccinations in 28,-15.806413230967877,2102877.3214285714,4439600176895.179,2107035.874610392,4.772871688882437,4.09956256580722
total_vaccinations in 30,-13.970858504521743,2122039.7,4524545921563.033,2127098.004691611,4.487515761698902,3.869219366296223
people_vaccinated in 7,-25.603210268868516,549688.8571428572,306537615012.8571,553658.3919826892,5.66477874036549,5.157829996119348
people_vaccinated in 14,-17.318131955450585,526111.5,279808911853.5,528969.6700695608,4.970002192977185,4.279968686269864
people_vaccinated in 21,-14.63635623095438,542400.7619047619,297000496023.7143,544977.5188241386,5.032548812615196,3.954283276518563
people_vaccinated in 28,-12.278234909063023,570564.1785714285,330320809724.1786,574735.4258475621,4.57590022944238,3.6439312437343028
people_vaccinated in 30,-11.717207114145571,581229.7333333333,343879437820.06665,586412.3445324686,4.424019699462828,3.566119335376422
people_fully_vaccinated in 7,-938428.9040705925,28987608.714285713,840282354385553.0,28987624.15903644,1109.7391170169808,968.7259179306562
people_fully_vaccinated in 14,-152714.90538880776,28922575.85714286,836520871839871.4,28922670.551660188,444.73789293324256,390.7888245444178
people_fully_vaccinated in 21,-47007.16037020238,28841697.904761903,831861234132257.4,28842004.68296643,251.8458343824277,216.8136535603844
people_fully_vaccinated in 28,-22135.397037835482,28753554.07142857,826804222180951.9,28754203.556714136,169.3040923176355,148.7830535976308
people_fully_vaccinated in 30,-18502.692350275567,28727202.066666666,825296740311805.2,28727978.3540681,155.1449227234986,136.02827775972014
new_cases in 7,-3.2146826635745285,1705.857142857143,3815154.1428571427,1953.2419570696159,2.0167688076050765,2.0529692310345347
new_cases in 14,-2.8669105340014642,1588.9285714285713,3399830.9285714286,1843.8630449606144,2.11787987595887,1.9664461685999606
new_cases in 21,-2.082635307496688,1492.5238095238096,3287581.6666666665,1813.1689570105336,1.7378847646658107,1.7557435198504046
new_cases in 28,-1.9598184232729583,1468.0357142857142,3246472.1071428573,1801.796910626405,1.7757473647831346,1.720412282934808
new_cases in 30,-1.9535435612003358,1430.5666666666666,3088351.3,1757.3705642237212,1.7869872253959795,1.7185876646829326
new_deaths in 7,-2.2319874695440305,13.571428571428571,379.0,19.467922333931785,1.606280193236715,1.7977729193488343
new_deaths in 14,-1.5578640422817571,12.714285714285714,286.42857142857144,16.924200761884485,1.409502262443439,1.5993323739241188
new_deaths in 21,-1.1033729711451756,13.666666666666666,338.5238095238095,18.399016536864398,1.3028534370946823,1.4503009932924875
new_deaths in 28,-5.433763733528064,27.714285714285715,988.9285714285714,31.447234718311424,2.6917740336967295,2.536486493858791
new_deaths in 30,-5.000590983283615,27.133333333333333,947.6666666666666,30.78419507907697,2.5426905456059976,2.4496103737704114
