target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-29894.85283875516,832055721.2857143,6.923170239279149e+17,0,207.393050550726,172.90417241569145
total_cases in 14,-6840.593474320303,831952238.1428572,6.921448455039005e+17,0,94.06081089806153,nan
total_cases in 21,-3197.6429886012697,832364097.6666666,6.928308799242964e+17,0,65.28046408100316,nan
total_cases in 28,-1950.0013959465693,833253783.1785715,6.943152395299308e+17,0,50.763552797493126,9.988095102343928
total_cases in 30,-1733.8055423190556,833554564.7333333,6.948176343892164e+17,0,47.955731338278305,14.126496710874434
total_deaths in 7,-77062.55684048859,15373455.57142857,236344191402717.56,0,333.3646015419825,277.60323636529995
total_deaths in 14,-16913.020280601984,15426190.0,237971103164895.72,0,147.5624589613962,130.0539129768958
total_deaths in 21,-7215.669984018048,15470435.523809524,239340943079902.66,0,98.36348017392119,84.95098577425719
total_deaths in 28,-4036.310121411794,15506032.67857143,240445829759174.1,0,72.88430927855819,63.53983098350037
total_deaths in 30,-3502.851036344414,15514975.766666668,240723787973760.97,0,68.10939795558812,59.193336080545535
total_vaccinations in 7,52.037803261793506,3874926690.142857,-3.4307173121092035e+18,0,17.30806198039825,nan
total_vaccinations in 14,15.809676643864387,3801976182.357143,-3.985759797959497e+18,0,8.414166997727067,nan
total_vaccinations in 21,8.83613807259186,3723117982.5238094,-4.5668988426163635e+18,0,5.639357623337792,nan
total_vaccinations in 28,6.009334937608011,3628247276.0,-5.241611647016991e+18,0,4.108566098586504,0.16615226961312615
total_vaccinations in 30,5.526817562656269,3603189174.866667,-5.41674832573561e+18,0,3.8165806387307093,0.3130615247597563
people_vaccinated in 7,-37.115723733939994,1277098696.5714285,1.6766967026291812e+18,0,7.232492064723153,nan
people_vaccinated in 14,-17.16322164883983,1379333829.5714285,2.0265713620704643e+18,0,5.931678618015344,nan
people_vaccinated in 21,-10.306886708315824,1321693590.5714285,1.8510658837817708e+18,0,4.026742965094304,0.7586864985172163
people_vaccinated in 28,-6.823356835534831,1279154243.892857,1.7280879549671747e+18,0,3.3445257520946985,nan
people_vaccinated in 30,-6.571392104697976,1287909457.8,1.7455944176169856e+18,0,3.2969173001866836,nan
people_fully_vaccinated in 7,-118.81329413005932,1555580422.5714285,2.4212678540973844e+18,0,12.85796382644977,nan
people_fully_vaccinated in 14,-47.20392871983948,1571370109.142857,2.4705159851387653e+18,0,8.311178293183662,nan
people_fully_vaccinated in 21,-23.190194721345218,1565965844.6190476,2.453350638306883e+18,0,5.769370995775633,nan
people_fully_vaccinated in 28,-13.472872100373538,1560227360.6785715,2.4353403647942047e+18,0,4.426799972179549,nan
people_fully_vaccinated in 30,-11.932377478320655,1560653557.7333333,2.4366043798082586e+18,0,4.182826785646425,nan
new_cases in 7,-3.6161208429330634,822917.5714285715,915192360267.5714,0,2.1493836114285076,2.148515962922562
new_cases in 14,-4.076317469988313,796714.3571428572,853389217441.0714,0,2.277922077088508,2.253068456569465
new_cases in 21,-3.2580705512293076,741213.5238095238,743745235799.9048,0,2.0635050811344855,2.0635092806259214
new_cases in 28,-2.59845872803963,676770.9285714285,635084530035.0714,0,1.9071844423950213,1.8969603917951554
new_cases in 30,-2.3093635083124346,653110.9,600039990376.2333,0,1.8029289722436572,1.8191656077203182
new_deaths in 7,-0.4308438205503191,6154.428571428572,45855389.0,0,1.2452904206205662,1.1961788413737802
new_deaths in 14,-0.4751933773088304,6659.785714285715,53928595.5,0,1.298650727166726,1.2145753897180818
new_deaths in 21,-0.5035897778971263,6457.9047619047615,50433136.0952381,0,1.3500244602625022,1.2262095163132303
new_deaths in 28,-0.5029254466783852,6411.785714285715,50106744.428571425,0,1.3404034510821163,1.225938598249678
new_deaths in 30,-0.4999647301997687,6138.9,47436706.43333333,0,1.3251826949921854,1.224730472471298
