target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-41711.99071234559,34945769.71428572,1221236378964364.8,34946192.62472472,214.27763421769384,204.23758398577277
total_cases in 14,-12390.632073050654,35270673.35714286,1244156743345647.8,35272606.132034644,131.84664742415586,111.31770781439339
total_cases in 21,-4750.257764300225,35561021.0,1264853734925797.2,35564782.2280103,79.58870100722191,68.92936793776819
total_cases in 28,-2742.047660317958,35820400.678571425,1283506615716783.8,35826060.56653151,59.366550729877346,52.37411250148263
total_cases in 30,-2430.2556510213917,35886592.03333333,1288287333959669.0,35892719.79050444,55.87166206863624,49.30776461188838
total_deaths in 7,-92818.01748006679,509357.0,259446975108.14285,509359.37716718524,322.61120159247196,304.6621366039219
total_deaths in 14,-24061.74910102503,512242.64285714284,262403033576.64285,512252.9000177967,179.37076672407554,155.12172349811303
total_deaths in 21,-7810.729061723804,514152.4761904762,264367176475.8095,514166.48711853,103.57473016998334,88.38398645526125
total_deaths in 28,-3781.7917459338305,515061.6785714286,265301899792.10715,515074.6545813598,69.87239398493844,61.504404280781635
total_deaths in 30,-3179.4951290959216,515212.8,265457027057.6,515225.2197414253,64.30433968622458,56.39587865346121
total_vaccinations in 7,-2567.836250605682,37257183.71428572,1393382310619167.5,37328036.522420615,61.15538126231346,50.683688210366874
total_vaccinations in 14,-133.8368082977991,38657958.64285714,1499422759790743.5,38722380.60593309,13.272772688027002,11.611925262324036
total_vaccinations in 21,-30.982308576582845,37610791.47619048,1420507801494173.0,37689624.58680337,6.392211562348877,5.655290317621444
total_vaccinations in 28,-12.936323842314605,36071158.85714286,1312897566834529.8,36233928.39362756,4.175770274811836,3.7331386047553345
total_vaccinations in 30,-10.520960449913973,35619950.86666667,1282636270585742.8,35813911.690650925,3.8078748728452756,3.3942540343813357
people_vaccinated in 7,-3153.1833064824773,11341142.42857143,128842494991853.58,11350880.802468749,67.88747141405233,56.162116292768715
people_vaccinated in 14,-133.27782674409542,11479085.57142857,131963812851295.42,11487550.341621812,13.363024543375726,11.587830976679605
people_vaccinated in 21,-26.540919126208404,10952497.761904761,120721104613739.86,10987315.62365166,5.93614203580762,5.247944276210296
people_vaccinated in 28,-9.398435024082394,10215460.535714285,106599501641546.11,10324703.465066012,3.601414114473774,3.224660450975016
people_vaccinated in 30,-7.577345026309565,10020960.066666666,103044378118812.0,10151077.68263114,3.257136989843184,2.9287104715744037
people_fully_vaccinated in 7,-918.4809764773713,4186307.714285714,17601534195385.715,4195418.2384341275,35.64683632688232,30.322944719755885
people_fully_vaccinated in 14,-132.69835387736066,4471500.5,20121242141819.93,4485670.757180015,13.138629954970714,11.56280043403676
people_fully_vaccinated in 21,-43.78739469529516,4668092.19047619,21961670431916.383,4686328.032897012,7.653977114889817,6.692338507225644
people_fully_vaccinated in 28,-22.61072642085958,4879256.0,24077834212393.715,4906916.976309434,5.486838547039767,4.859086994576201
people_fully_vaccinated in 30,-19.173093185654633,4941693.4,24727614980763.332,4972686.897519623,5.095946336692664,4.4914466695770345
new_cases in 7,-0.005282246490316611,54848.28571428572,4041050618.571429,63569.25843968473,0.9881404003644356,1.0026376446604808
new_cases in 14,-0.04362187786844007,47175.42857142857,2935355625.0,54178.922331475,1.0347067825872103,1.02157813106411
new_cases in 21,-0.043830495042853634,44769.857142857145,2612516239.571429,51112.7796110858,1.032520555223762,1.0216802313066715
new_cases in 28,-0.026004702016183545,39403.92857142857,2161951367.071429,46496.78878236032,1.0249170250855626,1.01291890199373
new_cases in 30,-0.024084707062331567,37227.13333333333,2020863921.2666667,44954.02007903928,1.02296700679649,1.0119707046463013
new_deaths in 7,-1.202010298316912,721.4285714285714,1157224.0,1075.743463842565,1.127591706539075,1.4839172141049217
new_deaths in 14,-0.8950818229955209,737.4285714285714,925853.2857142857,962.2127029478906,1.1015791720017072,1.3766197089231
new_deaths in 21,-0.754355791193811,735.6190476190476,914980.6666666666,956.5462177368465,1.1260335024887365,1.3245209666871307
new_deaths in 28,-0.8207494570199525,755.1428571428571,911812.1428571428,954.8885499665093,1.192881782133531,1.3493514949856291
new_deaths in 30,-0.7721394980977201,743.5333333333333,881280.8,938.7655724407452,1.194136919420116,1.331217299353385
