target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-49.82723633652973,86513.39285714277,16880414315.479261,129924.64860633359,5.380541220102858,7.129322291531624
total_cases in 14,-7.176800446755429,118345.16525974024,19192210402.164463,138535.95346394545,2.7876890354433472,2.8595105257290854
total_cases in 21,-3.872313331676809,149233.94199134203,29147559639.385742,170726.56395355042,2.1885542622255154,2.207331722165205
total_cases in 28,-3.1130878739770926,173157.88636363632,40529869433.39883,201320.315500942,1.9691121602761303,2.0280749182357867
total_cases in 30,-3.3914039351098246,194824.9577272727,47843802275.79082,218732.2616254649,2.109614455800088,2.09556768802867
total_deaths in 7,-25.4490130084013,342.1792207792213,222782.73544864258,471.9986604309832,4.350488276642921,5.1428603916887825
total_deaths in 14,-5.197542818002922,414.31720779220814,241979.17005460462,491.9137831516867,2.353120044255949,2.489486456681964
total_deaths in 21,-3.0851964603641386,488.5478354978347,328548.85911156953,573.1918170312357,1.9946820302794617,2.0211868939719895
total_deaths in 28,-2.749349116332666,556.5524350649351,435746.76705799886,660.1111778011328,1.870491821166993,1.9363236083704258
total_deaths in 30,-2.9576693115107475,622.8012121212121,495168.6726377411,703.6822241876947,2.0115740680323952,1.9893891805050985
total_vaccinations in 7,-34.36253330804929,736695.5603896108,1003492699567.843,1001744.827572293,5.24322026632485,5.946640506037782
total_vaccinations in 14,-5.782756927849642,928110.3564935072,1165232577619.5315,1079459.3913712231,2.490137031498845,2.604372655333649
total_vaccinations in 21,-3.249583738409491,1072450.3316017322,1556367005554.1042,1247544.390213873,2.029610676731571,2.061451852071615
total_vaccinations in 28,-2.667528338422576,1188426.5849025974,1984854280184.0427,1408848.5653838182,1.8329976295129151,1.915079198994803
total_vaccinations in 30,-2.592121314734882,1253351.517121212,2089945239155.745,1445664.2899220223,1.8649791443947203,1.8952892430272699
people_vaccinated in 7,-71.67903846420275,103253.26428571423,27514145472.318336,165873.88423835242,6.340970895810435,8.525200200828293
people_vaccinated in 14,-10.20922714977875,129153.68149350656,25024774210.00578,158192.20654003718,3.088439377221068,3.348018391493504
people_vaccinated in 21,-5.794271407998946,196913.80281385296,47566788451.05347,218098.1165692484,2.745450085526296,2.6065823232729377
people_vaccinated in 28,-4.3388147353557045,256567.79090909098,82414875447.14964,287079.9112566911,2.359599627125693,2.310587530338486
people_vaccinated in 30,-4.554243344919746,290916.8984848485,99321418843.273,315153.00862164237,2.4733831652504463,2.3567442256044133
people_fully_vaccinated in 7,-33.94472405477434,95095.6175324676,17421995631.78618,131992.40747780222,5.160101591202559,5.911406267105513
people_fully_vaccinated in 14,-6.178078608174312,115705.7344155845,18612338910.1249,136427.04610935802,2.5345796696325262,2.679193648875406
people_fully_vaccinated in 21,-3.6422550607672433,140227.36688311686,26198467600.334908,161859.4068947953,2.1578781365063637,2.1545893021100895
people_fully_vaccinated in 28,-3.732657458487968,176682.7449675324,41327952623.00541,203292.77562915365,2.1509017368226124,2.1754671816618996
people_fully_vaccinated in 30,-4.431313633706306,214953.5907575758,52092066875.04313,228236.86572296583,2.499060507964955,2.3305178895915617
new_cases in 7,-2.0554275616274755,3033.5045454545448,12452558.274542497,3528.818254677123,1.675176066439083,1.7479781353402208
new_cases in 14,0.06991765605549094,2325.888311688312,6997260.752322905,2645.2335912586063,0.9507003113379572,0.9644077685007049
new_cases in 21,-2.9534986616096295,4209.55735930736,21705769.251793582,4658.945079284964,2.157673482416502,1.9883406804694284
new_cases in 28,-4.807474982460763,5483.464772727273,36523787.201039694,6043.491308923981,2.5665367878014305,2.4098703248226374
new_cases in 30,-3.3751514670862823,5200.987424242424,34018423.41201171,5832.531475441149,2.1838044176405678,2.091686273580788
new_deaths in 7,-0.9191623807001963,21.794805194805196,852.0297638724912,29.189548880934957,1.3217146714671466,1.38533836325289
new_deaths in 14,-1.011283757868286,21.01461038961039,752.220125442739,27.42663168241297,1.3495621351125937,1.418197362100313
new_deaths in 21,-1.144922812846629,19.855627705627704,690.7818762298307,26.28272961908315,1.3872515554787417,1.4645555000909418
new_deaths in 28,-3.2547289209407975,28.394318181818175,1368.8070757083822,36.99739282312177,1.9582288401253916,2.0626994257382236
new_deaths in 30,-4.558515590218798,34.04772727272727,1867.5438918732784,43.21508870606745,2.2393272833568068,2.3576504385126302
