target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-38.1164302366003,20996.3714285714,909833627.167398,30163.4485290956,4.84872657693322,6.25431293081825
total_cases in 14,-6.0981084267012,24026.6116883118,863391656.200512,29383.5269530482,2.4435913234998,2.66422754784594
total_cases in 21,-3.96991709810332,30855.2649350649,1281903672.79736,35803.6823915832,2.19820169378512,2.22933108759182
total_cases in 28,-5.73820358321118,48302.1443181818,2952924731.37095,54340.8201205222,2.67015993972287,2.59580499714658
total_cases in 30,-7.59479563142824,63418.9527272727,4265363859.7382,65309.7531746844,3.29462797037138,2.93168818796069
total_deaths in 7,-64.2875421794751,156.084415584416,64746.5882585594,254.453509031727,5.30383936451899,8.08007067911383
total_deaths in 14,-8.95994084696467,189.634415584414,56668.6587455721,238.051798450615,2.84335568042727,3.15593739591974
total_deaths in 21,-5.08238127884483,281.31103896104,100671.216577136,317.287277679291,2.55631914654479,2.466248421965
total_deaths in 28,-7.74070178663306,484.695454545455,293353.515760036,541.621192126043,3.02135003310464,2.95646778887122
total_deaths in 30,-12.2677414684478,706.210606060606,513388.253702479,716.51116788399,4.07847500933358,3.64249110753174
total_vaccinations in 7,-19.4486137002123,536125.451948051,619390128214.175,787013.423147392,3.38798186846018,4.5220143410003
total_vaccinations in 14,-5.77856824974164,563991.714285715,515980993922.808,718318.170397219,2.36456202210842,2.60356836855529
total_vaccinations in 21,-3.98169290385538,749224.969047618,763401833343.838,873728.695502121,2.26823636175087,2.23197063239089
total_vaccinations in 28,-6.3225257810811,1259917.7413961,1934326278084.44,1390800.58889995,2.85961794202289,2.70601658921026
total_vaccinations in 30,-8.89447145838351,1688091.89727273,2990342235185.07,1729260.60360637,3.56983848898188,3.14554787888907
people_vaccinated in 7,-6.01138339317952,212590.562337661,80789225118.4847,284234.454488693,2.19083665656288,2.64790169628321
people_vaccinated in 14,-2.71889738966096,175755.360714284,56806045203.0005,238340.187972991,1.66030305016615,1.92844429259986
people_vaccinated in 21,-2.49795318210319,207165.387229438,66440915953.0237,257761.35465392,1.9221394893607,1.87028157829328
people_vaccinated in 28,-4.73161027299773,340382.983603896,142584474470.156,377603.594355451,2.72985692279376,2.39407816768746
people_vaccinated in 30,-7.75245652412595,475519.974090909,236670662201.7,486488.090503458,3.61941176133837,2.95845509077389
people_fully_vaccinated in 7,-81.1231507567885,165536.301948051,73534138424.3473,271171.787663,6.33726332408905,9.06218244998347
people_fully_vaccinated in 14,-10.8227991504985,205659.544805195,64760891982.948,254481.614233618,3.16239442399747,3.43842975069995
people_fully_vaccinated in 21,-5.33540016543922,295496.210173161,112111892038.316,334831.139588773,2.58027422149852,2.51702208282709
people_fully_vaccinated in 28,-8.77877885211253,545386.484577922,365241716114.928,604352.311251416,3.21129567163743,3.12710390810931
people_fully_vaccinated in 30,-14.5917162996577,826923.201969697,695417562851.033,833916.999977236,4.4659043359019,3.94863473869864
new_cases in 7,-0.384749578472648,980.125974025974,1253483.00520661,1119.59055248185,1.15876496470764,1.17675383087231
new_cases in 14,-0.287396358887302,878.020454545455,1131893.25684917,1063.904721697,1.17031179676642,1.13463490114102
new_cases in 21,-0.389680630806712,1071.50887445887,1482072.35323987,1217.40394004614,1.24765778357694,1.17884716176725
new_cases in 28,-1.27913070281799,1381.82905844156,2499860.86884666,1581.09483233823,1.67147112650612,1.50967900655006
new_cases in 30,-1.76309606717158,1490.86712121212,2889211.26580785,1699.76800352514,1.86231132211171,1.66225631813255
new_deaths in 7,-9.85440566991626,25.0733766233766,1272.84520365998,35.6769561994851,2.96762187088274,3.29460250560159
new_deaths in 14,-8.11968739786151,25.8493506493506,1021.21887249115,31.9565153371131,2.86565199506376,3.01988201720887
new_deaths in 21,-11.7294112551257,41.480303030303,2048.713590122,45.2627174407591,3.95434795425068,3.56783004852049
new_deaths in 28,-15.7146208296723,46.875,2569.1907231405,50.6871849991741,4.55277502477701,4.08835184758752
new_deaths in 30,-14.4087860023597,45.3028787878788,2433.49245247934,49.3304414381155,4.24537597970543,3.92540265480622
