target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-6.360734930747092,12136701.783116784,170457157675427.78,13055924.236737428,3.0251190419502034,2.7130674394026943
total_cases in 14,-4.085086556961041,20329209.59740264,514443961418129.56,22681357.133516714,2.2984275442504436,2.2550136489522723
total_cases in 21,-3.44772706530451,27241351.394588742,963384368714917.9,31038433.73488614,2.13647857496203,2.108963504972172
total_cases in 28,-5.2203606937424665,42736909.207792215,2213679208026894.2,47049752.475723974,2.6036213585441326,2.494065094126949
total_cases in 30,-8.43608892433093,61265349.80666666,3779305993872650.5,61476060.331422105,3.5246938592605095,3.0718217598569955
total_deaths in 7,-6.441793156415713,140556.62792207833,22823039297.02965,151072.96017828488,3.047890179512465,2.7279650211129383
total_deaths in 14,-4.441786065912762,249987.04740259904,76562982177.44174,276700.1665656198,2.391303583271477,2.3327636112372727
total_deaths in 21,-3.9142287495258605,360273.0435064935,162980453038.1237,403708.3762298272,2.290673091756815,2.2168059792245827
total_deaths in 28,-6.167370952357027,593160.7840909092,426859568377.33575,653344.9076692461,2.7880835114799254,2.6771946048722395
total_deaths in 30,-11.404132512954643,922946.6312121215,852196550045.7479,923144.9236418668,4.0516556611097645,3.5219501008609764
total_vaccinations in 7,-5.424593258486727,603851389.877921,4.318556424165336e+17,657157243.2961031,2.6972116168141933,2.534678137059364
total_vaccinations in 14,-3.877892560861892,1021599470.9785707,1.3127976076306737e+18,1145773802.9954576,2.2609054190008213,2.20859515549181
total_vaccinations in 21,-3.8938083265267256,1501419596.969913,2.852109977563088e+18,1688819107.4129543,2.274180428808607,2.212195363553302
total_vaccinations in 28,-6.0577912565046095,2504319775.623052,7.385052369840977e+18,2717545283.8620696,2.8358495293871018,2.656650382813781
total_vaccinations in 30,-10.001403664662543,3621368888.5884843,1.3164178599310471e+19,3628247317.8258495,3.8358370085855955,3.3168363940150174
people_vaccinated in 7,-0.007446300159418051,168821409.2584414,4.431719311810258e+16,210516491.32099503,0.9560729378982388,1.0037162448418468
people_vaccinated in 14,-2.309169742848026,507690688.84870136,3.69222418948692e+17,607636749.1756008,2.1832698793047145,1.8191123502543833
people_vaccinated in 21,-1.844092892718868,559375640.5887446,4.656103364108327e+17,682356458.4664181,1.7042239908358827,1.6864438599368994
people_vaccinated in 28,-3.7353761585336622,884737716.6123378,1.0459891672883567e+18,1022736118.1108042,2.3132691707719304,2.1760919462498967
people_vaccinated in 30,-6.589441268588915,1290874900.6865149,1.7497556761141025e+18,1322783306.5601118,3.3045085325485974,2.754894057598026
people_fully_vaccinated in 7,-3.2113626691742914,254749647.055845,8.510605711039574e+16,291729424.4850796,2.105684604355128,2.052160488162242
people_fully_vaccinated in 14,-3.565845996922846,427497823.2733773,2.3400572983664672e+17,483741387.35138917,2.2610908839999744,2.136784031417973
people_fully_vaccinated in 21,-3.48603059640835,593428244.0636364,4.5496971619873754e+17,674514429.9410781,2.18632335509699,2.1180251642528587
people_fully_vaccinated in 28,-5.62111812982799,960849011.2680196,1.1141310535885029e+18,1055524065.8499942,2.7261965041428944,2.5731533436287837
people_fully_vaccinated in 30,-12.070150370860139,1568937108.749091,2.46256233177365e+18,1569255343.0763426,4.205028163330337,3.6152662932154995
new_cases in 7,-0.05994206115741352,418833.31883116893,210144168600.48267,458414.84334659437,1.0939533954210443,1.0295348761248515
new_cases in 14,-0.8341694792178562,517035.21980519494,308345659186.60474,555288.8070064124,1.4782787974980351,1.3543151329058745
new_cases in 21,-1.3600787813207247,569181.4556277057,412228338774.9362,642050.106124854,1.5845755481346522,1.5362547904956145
new_cases in 28,-2.2815637145709426,650931.797564935,579156385262.6958,761023.2488319236,1.8343680926079307,1.8115086846523654
new_cases in 30,-2.0980584988285695,632186.6896969696,561727047256.3027,749484.5210251528,1.7451671664360175,1.7601302505293663
new_deaths in 7,-1.2292824321435938,7001.294805194805,71443585.7000059,8452.430756889164,1.4166457944325193,1.4930781734871064
new_deaths in 14,-1.3318583522655931,7804.189935064933,85245668.65398909,9232.858097793396,1.5218082636471624,1.5270423544439078
new_deaths in 21,-1.586730872234229,7856.7991341991365,86763658.57155256,9314.701206778056,1.6424632139371445,1.6083317046661205
new_deaths in 28,-2.0624034343807245,8709.605844155843,102098920.8498849,10104.401063392372,1.8207697903971534,1.74997240960557
new_deaths in 30,-2.1819272965222347,8619.274848484849,100629133.48451379,10031.407353134146,1.8606124668252475,1.783795755270831
