target,R2,MAE,MSE,RMSE,RAE,RRSE
total_cases in 7,-29.20488661493484,553694.2194805177,884312194515.8173,940378.750565865,3.3950972721541306,5.495897252945586
total_cases in 14,-7.910374715940618,783255.2762986986,894628142864.5482,945847.8434000621,2.927916380035614,2.985025077941661
total_cases in 21,-4.3350949954117945,1041421.0705627707,1420279674538.8564,1191754.8718334893,2.3307921954108495,2.309782456295786
total_cases in 28,-5.3041622708434435,1521986.0808441562,2949797080901.536,1717497.3306825068,2.522447046011248,2.51080908689678
total_cases in 30,-7.694521537949964,2090938.24530303,4607101670889.618,2146416.00601785,3.2553716702730013,2.9486474082110874
total_deaths in 7,-49.85787023438537,6504.912987012965,142157512.01619214,11922.98251345661,4.120013654459894,7.131470411800456
total_deaths in 14,-10.870237833173308,9199.733441558408,129444329.22538462,11377.360380395121,3.221448397707211,3.4453211509485304
total_deaths in 21,-5.508470843548207,13179.170129870132,220261871.1540773,14841.22202360969,2.6549108548101317,2.551170485002562
total_deaths in 28,-7.754166700277679,22390.01347402598,613963763.4498253,24778.292181864053,3.0373912637499143,2.9587441086173167
total_deaths in 30,-10.571598758761734,30377.949545454547,965812579.5267212,31077.525312140304,3.7915090357652237,3.4017052721777254
total_vaccinations in 7,-287.7640194808339,6604637.753896109,156630722021699.2,12515219.615400251,10.841107664939075,16.993057979093518
total_vaccinations in 14,-13.775406632983415,10827687.34675326,164306625693246.03,12818214.606303252,3.7175639360107873,3.8438791126911647
total_vaccinations in 21,-5.664786550102789,15456469.751082253,296019321652295.5,17205212.049036056,2.62693287692469,2.5816247887915065
total_vaccinations in 28,-5.423203726553938,22243362.370292213,605109972995185.4,24598983.169943944,2.5749982628944985,2.534404018019609
total_vaccinations in 30,-7.413305239262101,29325911.306212116,936658927204911.1,30604884.04168379,3.1350239983265977,2.900569812857829
people_vaccinated in 7,-380.17146166748506,2000360.9779220691,15570142052301.576,3945901.931409545,11.974053721815045,19.523612925570028
people_vaccinated in 14,-14.814536790626228,3284141.2691558325,15542004394704.688,3942334.891242078,3.823132087530982,3.976749525759226
people_vaccinated in 21,-6.078185013168676,5050826.356493497,31026063782925.74,5570104.46786465,2.7374963503422634,2.6604858603587194
people_vaccinated in 28,-5.015195823373545,7015276.462175327,61664748162862.46,7852690.504716359,2.4732037855253965,2.452589615768106
people_vaccinated in 30,-5.841256842843723,8549745.38969697,82187792931212.8,9065748.338179965,2.778944510032997,2.6155796380236107
people_fully_vaccinated in 7,-101.35518942457938,800385.4331168745,1959375357208.659,1399776.8955118023,6.815363437182534,10.117074153359724
people_fully_vaccinated in 14,-11.397187272490847,1123190.287662338,1865743292666.789,1365922.1400456137,3.300275055009513,3.5209639692122447
people_fully_vaccinated in 21,-5.363479312949474,1563136.6709956755,3120356440067.607,1766453.0676096682,2.5629768691490833,2.5225937669290857
people_fully_vaccinated in 28,-8.66604627747387,2888095.962337663,9857276544982.646,3139630.001287197,3.2477320832733927,3.1090265803742927
people_fully_vaccinated in 30,-12.227058649047102,3960869.11590909,16213359577112.295,4026581.624295265,4.084506024055647,3.6369023425227
new_cases in 7,-0.206281484878853,65144.29220779221,4849030764.901612,69634.98233576004,1.1736320679007002,1.098308465267774
new_cases in 14,-0.18773907391678213,48626.57305194806,3340708589.565828,57798.86322035951,1.0665349838770843,1.0898344250007805
new_cases in 21,-1.3065356327368782,64095.20562770565,5772835557.3937,75979.17844642504,1.4782181924486781,1.5187282945730873
new_cases in 28,-2.5804239793584247,72049.55081168831,7544509787.974807,86859.13761933632,1.8740469276510379,1.8922008295523032
new_cases in 30,-2.8227047138806656,72993.1512121212,7543483448.842534,86853.22935183547,2.005783919581252,1.9551738321388883
new_deaths in 7,-2.8771963995627363,1260.4493506493507,2037585.7141617476,1427.4402664075817,1.9700803247788894,1.969059775517934
new_deaths in 14,-2.0809041459491078,979.4204545454546,1505193.7029235538,1226.863359516272,1.463069394327397,1.7552504510607903
new_deaths in 21,-2.380826284327052,1076.75670995671,1763263.0182802046,1327.8791429494645,1.648222858509636,1.8387023370646625
new_deaths in 28,-2.503820369872555,1073.0285714285715,1754676.3215126917,1324.6419597433458,1.6950385247751376,1.8718494517114765
new_deaths in 30,-2.4192925419813083,1043.8104545454546,1700406.130592975,1303.9962157126743,1.6763910167435938,1.84913291625597
